jobLink,jobCategory,salaryLow,salaryHighAdj,salaryMean,jobSeniorityCategories,skillsAgr
/pl/job/analityk-it-connectis-warszawa-qvsnni8,"Business Analysis",13000,19500,16250,"5. Mid",spec
/pl/job/analityk-it-connectis-warszawa-qvsnni8,"Business Analysis",13000,19500,16250,"5. Mid",langpol_high
/pl/job/analityk-it-connectis-warszawa-qvsnni8,"Business Analysis",13000,19500,16250,"5. Mid",langeng_inter
/pl/job/service-desk-agent-zr-5282-job-idbc-creative-solutions-kft-budapest-qw7ibs7,Inne,8084,8706,8395,"3. Junior",Windows
/pl/job/service-desk-agent-zr-5282-job-idbc-creative-solutions-kft-budapest-qw7ibs7,Inne,8084,8706,8395,"3. Junior",Windows
/pl/job/service-desk-agent-zr-5282-job-idbc-creative-solutions-kft-budapest-qw7ibs7,Inne,8084,8706,8395,"3. Junior",TCP
/pl/job/service-desk-agent-zr-5282-job-idbc-creative-solutions-kft-budapest-qw7ibs7,Inne,8084,8706,8395,"3. Junior",langger_inter
/pl/job/service-desk-agent-zr-5282-job-idbc-creative-solutions-kft-budapest-qw7ibs7,Inne,8084,8706,8395,"3. Junior",langeng
/pl/job/service-desk-agent-zr-5282-job-idbc-creative-solutions-kft-budapest-qw7ibs7,Inne,8084,8706,8395,"3. Junior",ITIL
/pl/job/sales-account-executive-mindgram-warszawa-qwsktwq,Sales,9000,12000,10500,"6. Mid-Senior",SaaS
/pl/job/sales-account-executive-mindgram-warszawa-qwsktwq,Sales,9000,12000,10500,"6. Mid-Senior",Slack
/pl/job/sales-account-executive-mindgram-warszawa-qwsktwq,Sales,9000,12000,10500,"6. Mid-Senior",CRM
/pl/job/sales-account-executive-mindgram-warszawa-qwsktwq,Sales,9000,12000,10500,"6. Mid-Senior",B2B
/pl/job/sales-account-executive-mindgram-warszawa-qwsktwq,Sales,9000,12000,10500,"6. Mid-Senior",HubSpot
/pl/job/sales-account-executive-mindgram-warszawa-qwsktwq,Sales,9000,12000,10500,"6. Mid-Senior",GoogleDocs
/pl/job/sales-account-executive-mindgram-warszawa-qwsktwq,Sales,9000,12000,10500,"6. Mid-Senior",langpol_high
/pl/job/sales-account-executive-mindgram-warszawa-qwsktwq,Sales,9000,12000,10500,"6. Mid-Senior",langeng_inter
/pl/job/asystent-ka-zarzadu-j-rosyjskim-ang-profit-hr-katowice-qwwet4h,Backoffice,6000,7000,6500,"5. Mid",Microsoft
