jobLink,jobId,collectDate,jobTitle,salaryLow,jobSeniorityCategories,salaryHighAdj,companyName,jobCategory,employmentType,salaryMean
/pl/job/remote-senior-business-analyst-tkh-technology-poland-coxw9vw,coxw9vw,26/02/2023,"Remote Senior Business Analyst",17000,"6. Mid-Senior",22000,"TKH Technology Poland","Business Analysis",B2B,19500
/pl/job/ap-accountant-vewd-software-poland-warsaw-cp20mbj,cp20mbj,26/02/2023,"AP ACCOUNTANT",8500,"5. Mid",10500,"Vewd Software Poland Sp. z o.o.",Backoffice,"Employment Contract",9500
/pl/job/senior-it-recruiter-in4ge-warszawa-cpertsi,cpertsi,26/02/2023,"Senior IT Recruiter",7000,"6. Senior",12000,"IN4GE Sp z o.o.",HR,B2B,9500
/pl/job/remote-sales-development-representative-zowie-cpjnjtz,cpjnjtz,26/02/2023,"Remote Sales Development Representative",6000,"5. Mid",12000,Zowie,Sales,B2B,9000
/pl/job/remote-big-data-tech-lead-clearscale-cpkhhqv,cpkhhqv,26/02/2023,"Remote Big Data Tech Lead",31416,"7. Senior-Expert",38976,ClearScale,"Big Data",B2B,35196
/pl/job/remote-project-manager-camino-science-cpl1e6y,cpl1e6y,26/02/2023,"Remote Project Manager",8000,"5. Mid",14000,"Camino Science sp. zoo","Project Manager",B2B,11000
/pl/job/tester-it-junior-aplikacja-bank-krypto-crypto-voucher-rzeszow-cqe3avv,cqe3avv,26/02/2023,"Tester IT Junior aplikacja bank + krypto",2800,"2. Trainee-Junior",3000,"Crypto Voucher",Testing,B2B,2900
/pl/job/junior-php-developer-green-minds-remote-cqofpco,cqofpco,26/02/2023,"Junior PHP Developer",11000,"3. Junior",12000,"Green Minds Sp.z o.o.",Backend,B2B,11500
/pl/job/medior-software-engineer-in-test-qa-hearsay-budapest-cqy2vxo,cqy2vxo,26/02/2023,"Medior Software Engineer in Test (QA)",12438,"5. Mid",16169,Hearsay,Testing,"Employment Contract",14304
/pl/job/python-developer-embedded-linux-lerta-remote-cr5ffaa,cr5ffaa,26/02/2023,"Python Developer ( Embedded Linux )",15000,"6. Mid-Senior",24000,Lerta,Embedded,B2B,19500
/pl/job/senior-c-developer-with-azure-cognitum-services-remote-crdy45d,crdy45d,26/02/2023,"Senior C# Developer with Azure",16800,"7. Senior-Expert",26880,"Cognitum Services SA",Backend,B2B,21840
/pl/job/devops-engineer-peak-financial-services-remote-crrokev,crrokev,26/02/2023,"DevOps Engineer",7462,"6. Mid-Senior",12438,"Peak Financial Services",DevOps,B2B,9950
/pl/job/remote-sap-ibp-consultant-with-german-rits-professional-services-crskymm,crskymm,26/02/2023,"Remote SAP IBP Consultant with German",25200,"6. Mid-Senior",28560,"RITS Professional Services",ERP,B2B,26880
/pl/job/helpdesk-level-2-and-3-hudson-valley-it-services-llc-remote-cs4pazf,cs4pazf,26/02/2023,"Helpdesk Level 2 and 3",15000,"7. Senior-Expert",23000,,"IT Support",B2B,19000
